#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*ცემინება"] | [slemma = "დაცემინება"] 
# Matches:        377
# Excluded:       0
# Execution time: 0.02245 sec. (0.013818 CPU sec.)
#
# match	slemma	lemma	features	
#
დაცემინებას	დაცემინება	და-ცემინებ[ა]/ცემ	N VN Pv Dat Sg
დაცემინებას	დაცემინება	და-ცემინებ[ა]/ცემ	N VN Pv Dat Sg
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინებ	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Fut Pv <S-DO-IO> <S:Nom> <DO:Dat> <IO:Dat> S:2Sg DO:3 IO:3
დააცემინებს	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Fut Pv <S-DO-IO> <S:Nom> <DO:Dat> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინებდა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Cond Pv <S-DO-IO> <S:Nom> <DO:Dat> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დაცემინებაზე	დაცემინება	და-ცემინებ[ა]/ცემ	N VN Pv Dat Sg PP PP:ზე
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინებს	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Fut Pv <S-DO-IO> <S:Nom> <DO:Dat> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინებს	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Fut Pv <S-DO-IO> <S:Nom> <DO:Dat> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დაცემინების	დაცემინება	და-ცემინებ[ა]/ცემ	N VN Pv Gen Sg
დაცემინებისას	დაცემინება	და-ცემინებ[ა]/ცემ	N VN Gen Sg DDat DSg
დაცემინებისას	დაცემინება	და-ცემინებ[ა]/ცემ	N VN Converb
დაცემინებაზედ	დაცემინება	და-ცემინებ[ა]/ცემ	N VN Pv Dat Sg PP PP:ზედ
დააცემინე	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:2Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დამაცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:1Sg
დანაცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3 LevGuess
დააცემინებდა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Cond Pv <S-DO-IO> <S:Nom> <DO:Dat> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინებ	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Fut Pv <S-DO-IO> <S:Nom> <DO:Dat> <IO:Dat> S:2Sg DO:3 IO:3
დააცემინე	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:2Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დაცემინებას	დაცემინება	და-ცემინებ[ა]/ცემ	N VN Pv Dat Sg
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დაცემინება	დაცემინება	და-ცემინებ[ა]/ცემ	N VN Pv Nom Sg
დავაცემინე	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:1Sg DO:3 IO:3
დავაცემინე	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:1Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
დამაცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:1Sg
დააცემინა	დაცემინება	და-ცემინებ[ა]/ცემ	V Caus Aor Pv <S-DO-IO> <S:Erg> <DO:Nom> <IO:Dat> S:3Sg DO:3 IO:3
