#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*ხველება"] | [slemma = "დახველება"] 
# Matches:        436
# Excluded:       0
# Execution time: 0.020667 sec. (0.012977 CPU sec.)
#
# match	slemma	lemma	features	
#
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დახველებასაც	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Dat Sg Encl:ც Foc
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Aor Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაგვიხველებია	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Perf Pv <S-DO> <S:Dat> <DO:Nom> S:1Pl DO:3 ¦ V Act Perf Pv <S-DO> <S:Dat> <DO:Nom> S:1Pl DO:3
დახველებაც	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Nom Sg Encl:ც Foc
დაუხველებია	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Perf Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Perf Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3
დაახველებს	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Fut Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაახველა	დახველება	და-ხველებ[ა]/ხველ	V MedAct Inv Aor Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დახველება	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Nom Sg
დახველებას	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Dat Sg
დაახველო	დახველება	და-ხველებ[ა]/ხველ	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დახველებას	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Dat Sg
დავახველო	დახველება	და-ხველებ[ა]/ხველ	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დახველება	დახველება	და-ხველებ[ა]/ხველ	N VN Pv Nom Sg
