#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*სმა"] | [slemma = "დალევა"] 
# Matches:        15619
# Excluded:       0
# Execution time: 0.044074 sec. (0.033375 CPU sec.)
#
# match	slemma	lemma	features	
#
დავლიო	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დავლევდი	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Cond Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
დავლევთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:1Pl DO:3
დავლევ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
დავლევ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
დალევთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:2Pl DO:3
დავლევ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
დაელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3
დალევა	დალევა	და-ლევ[ა]/ლ	N VN Pv Nom Sg
დალიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3
დალევის	დალევა	და-ლევ[ა]/ლ	N VN Pv Gen Sg
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დავლიო	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დაელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:3 ¦ V Act PluPerf Pv <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3
დალევის	დალევა	და-ლევ[ა]/ლ	N VN Pv Gen Sg
დალიეთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3
დაილევაო	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S> <S:Nom> S:3Sg Encl:IndSp3
